,Function,Taylor Expression
10881,log(0.25*x**4*cos(x)**2 + 1),0.25*x**4
10882,-0.5*x**2 + 2*sqrt(x**2 + 1),-x**4/4 + 0.5*x**2 + 2
10883,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
10884,cos(9*sqrt(x**2 + 1)*cos(x)),3*x**4*sin(9) + cos(9)
10885,-2*x**3,-2*x**3
10886,exp(1.0*sin(x)*cos(x)),-0.625*x**4 - 0.5*x**3 + 0.5*x**2 + 1.0*x + 1
10887,-2*exp(x) + 2*log(x + 1),-7*x**4/12 + x**3/3 - 2*x**2 - 2
10888,2*x**2 + 2*x,2*x*(x + 1)
10889,exp(0.5*exp(x))*exp(-cos(x)),(0.3984375*x**4 + 0.479166666666667*x**3 + 0.875*x**2 + 0.5*x + 1)*exp(-1/2)
10890,-0.5*log(x + 1) + 3*sin(x),x*(0.125*x**3 - 0.666666666666667*x**2 + 0.25*x + 2.5)
10891,sin(3*sin(x)*cos(x)),x*(6 - 13*x**2)/2
10892,3*x**4,3*x**4
10893,sin(0.5*log(x + 1)),x*(-0.09375*x**3 + 0.145833333333333*x**2 - 0.25*x + 0.5)
10894,2*x**2*log(x + 1),x**3*(2 - x)
10895,6*exp(x)*log(x + 1),x*(2*x**2 + 3*x + 6)
10896,cos(6*x**2*sqrt(x**2 + 1)),1 - 18*x**4
10897,-x*log(x + 1),x**2*(-x**2/3 + x/2 - 1)
10898,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
10899,2*x**2,2*x**2
10900,-3*sin(x),x*(x**2 - 6)/2
10901,3*x*sqrt(x**2 + 1),3*x*(x**2 + 2)/2
10902,-6*x**2*exp(x),3*x**2*(-x**2 - 2*x - 2)
10903,-3*x**2*exp(x),3*x**2*(-x**2 - 2*x - 2)/2
10904,sin(cos(x)),x**4*(-3*sin(1) + cos(1))/24 - x**2*cos(1)/2 + sin(1)
10905,-sin(2*sqrt(x**2 + 1) + 2*log(x + 1)),x**4*(9*cos(2) + 8*sin(2))/12 + 2*x**3*cos(2)/3 + 2*x**2*sin(2) - 2*x*cos(2) - sin(2)
10906,log(9*x**2 + 10),-81*x**4/200 + 9*x**2/10 + log(10)
10907,-0.5*sqrt(x**2 + 1),0.0625*x**4 - 0.25*x**2 - 0.5
10908,2*log(x + 1) + 2*cos(x),-5*x**4/12 + 2*x**3/3 - 2*x**2 + 2*x + 2
10909,3*x,3*x
10910,2*x,2*x
10911,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
10912,log(4*x**6 - 4*x**3*sqrt(x**2 + 1) + x**2 + 2),-x**4/8 - 2*x**3 + x**2/2 + log(2)
10913,exp(0.5*x**2),0.125*x**4 + 0.5*x**2 + 1
10914,9*x**4,9*x**4
10915,1.5*log(x + 1)**2,x**2*(1.375*x**2 - 1.5*x + 1.5)
10916,3*sin(x)*cos(x),x*(3 - 2*x**2)
10917,0.5*sin(x)*cos(x),x*(0.5 - 0.333333333333333*x**2)
10918,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
10919,cos(0.5*sqrt(x**2 + 1) + 0.5*log(x + 1)),0.0190457795856798*x**4 - 0.0699162243797796*x**3 - 0.109697820236297*x**2 - 0.239712769302102*x + 0.877582561890373
10920,-2*x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 2
10921,-3*x**3 + 2*sqrt(x**2 + 1),-x**4/4 - 3*x**3 + x**2 + 2
10922,-cos(x),-x**4/24 + x**2/2 - 1
10923,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
10924,-3*sqrt(x**2 + 1)*exp(x),-x**4/2 - 2*x**3 - 3*x**2 - 3*x - 3
10925,4*x**4,4*x**4
10926,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
10927,-2*x**3,-2*x**3
10928,exp(-1.0*x**4),1 - 1.0*x**4
10929,1.0*x**4,1.0*x**4
10930,6*x**2*exp(x),3*x**2*(x**2 + 2*x + 2)
10931,exp(-3*exp(x))*exp(sin(x)),(x**3 + x**2/2 - 2*x + 1)*exp(-3)
10932,2*x**3 + 2*log(x + 1),x*(-3*x**3 + 16*x**2 - 6*x + 12)/6
10933,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
10934,-2*x**3 - 2*exp(x),-x**4/12 - 7*x**3/3 - x**2 - 2*x - 2
10935,-0.5*x**3,-0.5*x**3
10936,sin(3*log(x + 1)),x*(12*x**3 - 7*x**2 - 3*x + 6)/2
10937,3*x**4,3*x**4
10938,4*cos(x)**2,4*x**4/3 - 4*x**2 + 4
10939,-sin(x**2 + 3*log(x + 1)),x*(-3*x**3 + 7*x**2 + x - 6)/2
10940,exp(1.0*exp(x)*log(x + 1)),0.75*x**4 + 1.0*x**3 + 1.0*x**2 + 1.0*x + 1
10941,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
10942,3*x**3 - 3*log(x + 1),x*(3*x**3 + 8*x**2 + 6*x - 12)/4
10943,4*cos(x)**2,4*x**4/3 - 4*x**2 + 4
10944,log(4*x**2 + 1),x**2*(4 - 8*x**2)
10945,4*x**4 + 2.0*x**2*cos(x) + 0.25*cos(x)**2,3.08333333333333*x**4 + 1.75*x**2 + 0.25
10946,3*x,3*x
10947,-3*sin(x),x*(x**2 - 6)/2
10948,0.5*x,0.5*x
10949,-0.5*x**2,-0.5*x**2
10950,exp(0.5*x**2),0.125*x**4 + 0.5*x**2 + 1
10951,0.5*sqrt(x**2 + 1) - log(x + 1),0.1875*x**4 - x**3/3 + 0.75*x**2 - x + 0.5
10952,-sin(3*x**3 - 0.5*x),x*(0.5 - 3.02083333333333*x**2)
10953,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
10954,0.5*exp(x) + cos(x),0.0625*x**4 + 0.0833333333333333*x**3 - 0.25*x**2 + 0.5*x + 1.5
10955,sin(2*x**2),2*x**2
10956,0.5*sqrt(x**2 + 1)*exp(x),0.0833333333333333*x**4 + 0.333333333333333*x**3 + 0.5*x**2 + 0.5*x + 0.5
10957,-2*x**2,-2*x**2
10958,6*x**3*sin(x),6*x**4
10959,3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
10960,0.5*x*sin(x),x**2*(0.5 - 0.0833333333333333*x**2)
10961,2*cos(x),x**4/12 - x**2 + 2
10962,sin(0.5*cos(x)),0.00330092195800142*x**4 - 0.219395640472593*x**2 + 0.479425538604203
10963,sin(3*x**3),3*x**3
10964,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
10965,0.5*sqrt(x**2 + 1) + 2*cos(x),0.0208333333333333*x**4 - 0.75*x**2 + 2.5
10966,log(1.0*x**4*exp(2*x) + 1),1.0*x**4
10967,cos(0.5*exp(x)),-0.0567110078557897*x**4 - 0.139661916399059*x**3 - 0.229554204887347*x**2 - 0.239712769302102*x + 0.877582561890373
10968,3*x**2 + 3*cos(x),x**4/8 + 3*x**2/2 + 3
10969,log(9*cos(x)**2 + 1),-21*x**4/200 - 9*x**2/10 + log(10)
10970,0.5*x - 2*cos(x),-x**4/12 + x**2 + 0.5*x - 2
10971,-x**3,-x**3
10972,sin(3*x),-9*x**3/2 + 3*x
10973,cos(3*x*cos(x)),63*x**4/8 - 9*x**2/2 + 1
10974,-sin(0.5*x - 0.5*cos(x)),0.0319738810238573*x**4 - 0.0416452222861426*x**3 - 0.279323832798119*x**2 - 0.438791280945186*x + 0.479425538604203
10975,-0.5*x**2*exp(x),x**2*(-0.25*x**2 - 0.5*x - 0.5)
10976,sin(x**2 - 0.5*log(x + 1)),x*(-0.03125*x**3 - 0.145833333333333*x**2 + 1.25*x - 0.5)
10977,-1.5*x**4,-1.5*x**4
10978,0.25*x**6 - 0.5*x**3*cos(x) + 0.25*cos(x)**2,0.0833333333333333*x**4 - 0.5*x**3 - 0.25*x**2 + 0.25
10979,4*x**3*log(x + 1),4*x**4
10980,-2*x**3,-2*x**3
10981,0.5*exp(x) + sin(x),0.0208333333333333*x**4 - 0.0833333333333333*x**3 + 0.25*x**2 + 1.5*x + 0.5
10982,2*sin(x),x*(6 - x**2)/3
10983,x**3,x**3
10984,-1.0*x**4,-1.0*x**4
10985,exp(3*x*log(x + 1)),11*x**4/2 - 3*x**3/2 + 3*x**2 + 1
10986,x**3,x**3
10987,2*exp(x) - 3*log(x + 1),5*x**4/6 - 2*x**3/3 + 5*x**2/2 - x + 2
10988,exp(0.5*x*sin(x)),0.0416666666666667*x**4 + 0.5*x**2 + 1
10989,1.0*x**2*cos(x),x**2*(1.0 - 0.5*x**2)
10990,0.5*x**2 - 2*x,x*(0.5*x - 2)
10991,sin(cos(x)),x**4*(-3*sin(1) + cos(1))/24 - x**2*cos(1)/2 + sin(1)
10992,2*x**2,2*x**2
10993,log(x**2 + 2),-x**4/8 + x**2/2 + log(2)
10994,exp(-2*x**2)*exp(-x**3),2*x**4 - x**3 - 2*x**2 + 1
10995,3*x,3*x
10996,sin(9*exp(x)*cos(x)),3*x**4*(-4*cos(9) + 801*sin(9))/8 - 249*x**3*cos(9)/2 - 81*x**2*sin(9)/2 + 9*x*cos(9) + sin(9)
10997,0.5*sqrt(x**2 + 1) - 2*log(x + 1),0.4375*x**4 - 0.666666666666667*x**3 + 1.25*x**2 - 2.0*x + 0.5
10998,4*x**6 + 8*x**4 + 4*x**2,x**2*(8*x**2 + 4)
10999,cos(2*x**2),1 - 2*x**4
11000,6*x**3,6*x**3
11001,cos(x),x**4/24 - x**2/2 + 1
11002,0.5*sin(x),x*(0.5 - 0.0833333333333333*x**2)
11003,2*x**3 - 0.5*exp(x),-0.0208333333333333*x**4 + 1.91666666666667*x**3 - 0.25*x**2 - 0.5*x - 0.5
11004,exp(0.5*x),0.00260416666666667*x**4 + 0.0208333333333333*x**3 + 0.125*x**2 + 0.5*x + 1
11005,2*x,2*x
11006,3*sqrt(x**2 + 1) - 3*sin(x),-3*x**4/8 + x**3/2 + 3*x**2/2 - 3*x + 3
11007,-3*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/4
11008,0.5*x**2 - 3*x,x*(0.5*x - 3)
11009,-6*sin(x)**2,2*x**2*(x**2 - 3)
11010,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
11011,-x**3 - 0.5*sin(x),x*(-0.916666666666667*x**2 - 0.5)
11012,2*x**2 - x,x*(2*x - 1)
11013,-x**3,-x**3
11014,-sin(0.5*exp(x) - log(x + 1)),0.0381128757164222*x**4 + 0.0213280934566343*x**3 - 0.598258729092254*x**2 + 0.438791280945186*x - 0.479425538604203
11015,exp(-0.5*x**3),1 - 0.5*x**3
11016,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
11017,-2*x**3 - 3*sin(x),3*x*(-x**2 - 2)/2
11018,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
11019,-3*x - sqrt(x**2 + 1),x**4/8 - x**2/2 - 3*x - 1
11020,-sqrt(x**2 + 1),x**4/8 - x**2/2 - 1
11021,-6*sqrt(x**2 + 1)*cos(x),2*x**4 - 6
11022,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
11023,3*sqrt(x**2 + 1) - sin(x),-3*x**4/8 + x**3/6 + 3*x**2/2 - x + 3
11024,-x - 0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 1.5*x - 0.5
11025,x**2,x**2
11026,1.5*exp(2*x),1.0*x**4 + 2.0*x**3 + 3.0*x**2 + 3.0*x + 1.5
11027,-0.5*x**2,-0.5*x**2
11028,0.25*x**2 + 0.25,0.25*x**2 + 0.25
11029,cos(3*sqrt(x**2 + 1)),3*x**4*(sin(3) - 3*cos(3))/8 - 3*x**2*sin(3)/2 + cos(3)
11030,-2*sin(x)**2,2*x**2*(x**2 - 3)/3
11031,-2*x**3*sin(x),-2*x**4
11032,2*x,2*x
11033,-0.5*x**2,-0.5*x**2
11034,sin(x),-x**3/6 + x
11035,0.5*x**3 - 3*exp(x),-x**4/8 - 3*x**2/2 - 3*x - 3
11036,exp(2.5*exp(x)),(7.4609375*x**4 + 6.14583333333333*x**3 + 4.375*x**2 + 2.5*x + 1)*exp(5/2)
11037,exp(0.5*x)*exp(-3*x**3),-1.49739583333333*x**4 - 2.97916666666667*x**3 + 0.125*x**2 + 0.5*x + 1
11038,-sin(x),x**3/6 - x
11039,-0.5*x**3,-0.5*x**3
11040,sin(6*x**3*log(x + 1)),6*x**4
11041,exp(0.5*log(x + 1)*cos(x)),-0.0390625*x**4 - 0.1875*x**3 - 0.125*x**2 + 0.5*x + 1
11042,sin(0.5*sqrt(x**2 + 1)),-0.0698309581995296*x**4 + 0.219395640472593*x**2 + 0.479425538604203
11043,-3*sin(x),x*(x**2 - 6)/2
11044,-exp(x) + 3*log(x + 1),-19*x**4/24 + 5*x**3/6 - 2*x**2 + 2*x - 1
11045,2.25*x**2 + 2.25,2.25*x**2 + 2.25
11046,x**3 - 2*x,x*(x**2 - 2)
11047,6*log(x + 1)*sin(x),x**2*(x**2 - 3*x + 6)
11048,3*cos(x)**2,x**4 - 3*x**2 + 3
11049,-sin(0.5*exp(x) - 3*cos(x)),-1.19849091464194*x**4 - 0.473591650119279*x**3 + 1.32719230919414*x**2 + 0.400571807773467*x + 0.598472144103956
11050,log(x**2 - 1.0*x*log(x + 1) + 0.25*log(x + 1)**2 + 1),x**2*(-0.135416666666667*x**2 + 0.25*x + 0.25)
11051,-1.5*x*cos(x),x*(0.75*x**2 - 1.5)
11052,-sin(0.5*x + log(x + 1)),x*(-0.625*x**3 + 0.458333333333333*x**2 + x - 3.0)/2
11053,cos(3*x - 2*exp(x)),x**4*(-cos(2)/8 + 5*sin(2)/12) + x**3*(-sin(2)/2 + cos(2)) + x**2*(-sin(2) - cos(2)/2) + x*sin(2) + cos(2)
11054,-2*x**2*cos(x),x**2*(x**2 - 2)
11055,-x + sin(x),-x**3/6
11056,-0.5*x**3*cos(x),-0.5*x**3
11057,-0.5*exp(x)*cos(x),0.0833333333333333*x**4 + 0.166666666666667*x**3 - 0.5*x - 0.5
11058,-1.0*sqrt(x**2 + 1)*exp(x),-0.166666666666667*x**4 - 0.666666666666667*x**3 - 1.0*x**2 - 1.0*x - 1.0
11059,-3*x**2,-3*x**2
11060,-6*x**3*log(x + 1),-6*x**4
11061,2*x**2 + exp(x),x**4/24 + x**3/6 + 5*x**2/2 + x + 1
11062,-0.5*log(x + 1) - 2*sin(x),x*(0.125*x**3 + 0.166666666666667*x**2 + 0.25*x - 2.5)
11063,4*x**4*cos(x)**2,4*x**4
11064,4*x**4 - 8*x**2*cos(x) + 4*cos(x)**2,28*x**4/3 - 12*x**2 + 4
11065,-1.5*x*cos(x),x*(0.75*x**2 - 1.5)
11066,x**3 + 2*sin(x),2*x*(x**2 + 3)/3
11067,-3*x**2,-3*x**2
11068,log(0.0625*x**4*cos(x)**2 + 1),0.0625*x**4
11069,2*sin(x),x*(6 - x**2)/3
11070,-cos(x)**2,-x**4/3 + x**2 - 1
11071,cos(sin(x)),5*x**4/24 - x**2/2 + 1
11072,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
11073,-cos(x),-x**4/24 + x**2/2 - 1
11074,9*x**2 + 3.0*x*cos(x) + 0.25*cos(x)**2,0.0833333333333333*x**4 - 1.5*x**3 + 8.75*x**2 + 3.0*x + 0.25
11075,cos(x),x**4/24 - x**2/2 + 1
11076,sin(3*x),-9*x**3/2 + 3*x
11077,3*x**3 - 0.5*x**2,x**2*(3*x - 0.5)
11078,cos(1.0*x*cos(x)),0.541666666666667*x**4 - 0.5*x**2 + 1
11079,-sqrt(x**2 + 1),x**4/8 - x**2/2 - 1
11080,sin(x**4),x**4
11081,-3*cos(x),-x**4/8 + 3*x**2/2 - 3
11082,x**3,x**3
11083,4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
11084,exp(-0.5*x)*exp(-sqrt(x**2 + 1)),(0.190104166666667*x**4 + 0.229166666666667*x**3 - 0.375*x**2 - 0.5*x + 1)*exp(-1)
11085,-2*sqrt(x**2 + 1) + cos(x),7*x**4/24 - 3*x**2/2 - 1
11086,0.5*x**3,0.5*x**3
11087,1.5*x**3*sqrt(x**2 + 1),1.5*x**3
11088,x**2,x**2
11089,-3*x**2 - sqrt(x**2 + 1),x**4/8 - 7*x**2/2 - 1
11090,-3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
11091,-2*x**3,-2*x**3
11092,sin(x),-x**3/6 + x
11093,-sin(log(x + 1) + 2*cos(x)),x**4*(-7*cos(2) + 17*sin(2))/12 - x**3*(cos(2) + 9*sin(2))/6 + x**2*(3*cos(2) + sin(2))/2 - x*cos(2) - sin(2)
11094,-3*x**3*sqrt(x**2 + 1),-3*x**3
11095,cos(3*x),27*x**4/8 - 9*x**2/2 + 1
11096,(x + 1)**0.5,-0.0390625*x**4 + 0.0625*x**3 - 0.125*x**2 + 0.5*x + 1
11097,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
11098,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
11099,-exp(x) - 2*log(x + 1),11*x**4/24 - 5*x**3/6 + x**2/2 - 3*x - 1
11100,-4*x**2*sqrt(x**2 + 1),2*x**2*(-x**2 - 2)
11101,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
11102,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
11103,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
11104,-3*x - cos(x),-x**4/24 + x**2/2 - 3*x - 1
11105,-x,-x
11106,2*x**3,2*x**3
11107,3*x**3,3*x**3
11108,0.25*exp(2*x),0.166666666666667*x**4 + 0.333333333333333*x**3 + 0.5*x**2 + 0.5*x + 0.25
11109,-3*x**2,-3*x**2
11110,log(4.25*x**2 - 2.0*x*sqrt(x**2 + 1) + 1.25),0.00559999999999961*x**4 + 3.27466666666667*x**3 + 2.12*x**2 - 1.6*x + 0.22314355131421
11111,-2*sqrt(x**2 + 1),x**4/4 - x**2 - 2
11112,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
11113,-6*x**3*sqrt(x**2 + 1),-6*x**3
11114,-0.5*x,-0.5*x
11115,-0.5*sqrt(x**2 + 1) + sin(x),0.0625*x**4 - x**3/6 - 0.25*x**2 + x - 0.5
11116,2*sqrt(x**2 + 1)*cos(x),2 - 2*x**4/3
11117,x**3 - 2*exp(x),-x**4/12 + 2*x**3/3 - x**2 - 2*x - 2
11118,6*x*sqrt(x**2 + 1),3*x*(x**2 + 2)
11119,9*x**4,9*x**4
11120,-1.0*x**3*sin(x),-1.0*x**4
11121,4*x**2 + 4,4*x**2 + 4
11122,3*x**3*sqrt(x**2 + 1),3*x**3
11123,exp(-2*x**2)*exp(3*exp(x)),(23*x**4 + 28*x**3 + 32*x**2 + 24*x + 8)*exp(3)/8
11124,cos(1.5*x*log(x + 1)),1 - 1.125*x**4
11125,3*log(x + 1) + 3*cos(x),-5*x**4/8 + x**3 - 3*x**2 + 3*x + 3
11126,x*cos(x),-x**3/2 + x
11127,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
11128,-cos(x),-x**4/24 + x**2/2 - 1
11129,-0.5*x,-0.5*x
11130,exp(-0.5*x**2)*exp(2*sqrt(x**2 + 1)),(-0.125*x**4 + 0.5*x**2 + 1)*exp(2)
11131,log(2.25*x**6 + 2.25*x**4 + 1),2.25*x**4
11132,1.0*sqrt(x**2 + 1)*exp(x),0.166666666666667*x**4 + 0.666666666666667*x**3 + 1.0*x**2 + 1.0*x + 1.0
11133,-2*cos(x),-x**4/12 + x**2 - 2
11134,2.5*x**2,2.5*x**2
11135,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
11136,-sin(1.5*x**2*exp(x)),x**2*(-0.75*x**2 - 1.5*x - 1.5)
11137,3*x**3*sqrt(x**2 + 1),3*x**3
11138,-2*sqrt(x**2 + 1),x**4/4 - x**2 - 2
11139,0.25*x**2,0.25*x**2
11140,5*x**3,5*x**3
11141,cos(4*exp(x)*cos(x)),2*x**4*(24*cos(4) + sin(4))/3 + 12*x**3*sin(4) - 8*x**2*cos(4) - 4*x*sin(4) + cos(4)
11142,0.25*x**4 - 1.0*x**2*log(x + 1) + log(x + 1)**2,x**2*(1.66666666666667*x**2 - 2.0*x + 1)
11143,36*sin(x)**4,36*x**4
11144,sin(x**2 + 0.5*log(x + 1)),x*(-0.21875*x**3 + 0.145833333333333*x**2 + 0.75*x + 0.5)
11145,-3*x - 0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 3*x - 0.5
11146,9*log(x + 1)**2,x**2*(33*x**2/4 - 9*x + 9)
11147,exp(-3*sin(x)),15*x**4/8 - 4*x**3 + 9*x**2/2 - 3*x + 1
11148,3*log(x + 1)**2,x**2*(11*x**2 - 12*x + 12)/4
11149,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
11150,-0.5*x**3*exp(x),0.5*x**3*(-x - 1)
11151,exp(-sqrt(x**2 + 1)),(x**4 - 2*x**2 + 4)*exp(-1)/4
11152,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
11153,-3*exp(x)*sin(x),x*(-x**2 - 3*x - 3)
11154,sin(2*sqrt(x**2 + 1) - 0.5*cos(x)),-0.798450950402754*x**4 + 0.0884215020846286*x**2 + 0.997494986604054
11155,3*x,3*x
11156,3*sqrt(x**2 + 1)*sin(x),x*(x**2 + 3)
11157,log(0.25*x**4 + 1),0.25*x**4
11158,-1.5*sqrt(x**2 + 1)*cos(x),0.5*x**4 - 1.5
11159,16*exp(2*x)*cos(x)**2,-16*x**4 - 32*x**3/3 + 16*x**2 + 32*x + 16
11160,-0.5*x**3 - 3*sqrt(x**2 + 1),0.375*x**4 - 0.5*x**3 - 1.5*x**2 - 3.0
11161,-2*x - 2*sqrt(x**2 + 1),x**4/4 - x**2 - 2*x - 2
11162,1.0*x**3*log(x + 1),1.0*x**4
11163,-2*log(x + 1) - 2*sin(x),x*(x**3/2 - x**2/3 + x - 4)
11164,3*x**2 + 3*cos(x),x**4/8 + 3*x**2/2 + 3
11165,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
11166,x**2 - 2*log(x + 1),x*(3*x**3 - 4*x**2 + 12*x - 12)/6
11167,0.25*cos(x)**2,0.0833333333333333*x**4 - 0.25*x**2 + 0.25
11168,-sin(3*exp(x)*log(x + 1)),x*(27*x**3 + 14*x**2 - 6*x - 12)/4
11169,6*x*sin(x),x**2*(6 - x**2)
11170,cos(3.5*sqrt(x**2 + 1)),1.28048164029982*x**4 + 0.613870648456835*x**2 - 0.936456687290796
11171,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
11172,cos(2*log(x + 1)),-7*x**4/6 + 2*x**3 - 2*x**2 + 1
11173,exp(4*x*exp(x)),178*x**4/3 + 86*x**3/3 + 12*x**2 + 4*x + 1
11174,3*exp(x)*sin(x),x*(x**2 + 3*x + 3)
11175,cos(1.0*x**2*sqrt(x**2 + 1)),1 - 0.5*x**4
11176,-sin(log(x + 1)),x*(-x**2 + 3*x - 6)/6
11177,-sin(2*sqrt(x**2 + 1)*log(x + 1)),x*(-x**3 - x**2/3 + x - 2)
11178,cos(2*exp(x) + log(x + 1)),x**4*(15*cos(2) + 29*sin(2))/12 + x**3*(-9*cos(2) + 23*sin(2))/6 - x**2*(9*cos(2) + sin(2))/2 - 3*x*sin(2) + cos(2)
11179,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
11180,9*x**3*cos(x),9*x**3
11181,-2*x + 3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 4)/4
11182,log(4*exp(2*x) - 4*exp(x)*sin(x) + sin(x)**2 + 1),-509*x**4/3750 + 64*x**3/375 + 17*x**2/25 + 4*x/5 + log(5)
11183,-x**3*sqrt(x**2 + 1),-x**3
11184,-3*exp(x)*log(x + 1),x*(-2*x**2 - 3*x - 6)/2
11185,-2*x + sqrt(x**2 + 1),-x**4/8 + x**2/2 - 2*x + 1
11186,log(9*x**4 - 6*x**2*sqrt(x**2 + 1) + x**2 + 2),-x**4/8 - 5*x**2/2 + log(2)
11187,2*x**3*log(x + 1),2*x**4
11188,1.0*log(x + 1)**2*cos(x)**2,x**2*(-0.0833333333333334*x**2 - 1.0*x + 1.0)
11189,3*x**2*cos(x),3*x**2*(2 - x**2)/2
11190,cos(2*x),2*x**4/3 - 2*x**2 + 1
11191,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
11192,6*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/2
11193,0.5*x**2 - x,x*(0.5*x - 1)
11194,-2*x**2,-2*x**2
11195,3*x + 2*cos(x),x**4/12 - x**2 + 3*x + 2
11196,2.5*x**2,2.5*x**2
11197,1.0*x*exp(x),x*(0.166666666666667*x**3 + 0.5*x**2 + 1.0*x + 1.0)
11198,log(4*x**2 + 5),-8*x**4/25 + 4*x**2/5 + log(5)
11199,9*x**2 + 18*x*exp(x) + 9*exp(2*x),9*x**4 + 21*x**3 + 45*x**2 + 36*x + 9
11200,sin(2*log(x + 1)),x*(9*x**3 - 4*x**2 - 6*x + 12)/6
11201,9*x**2 - 6*x*sin(x) + sin(x)**2,2*x**2*(x**2 + 6)/3
11202,-sin(x),x**3/6 - x
11203,log(log(x + 1)**2 + 1),x**2*(5*x**2/12 - x + 1)
11204,3*x,3*x
11205,-2*x**3 + 3*sqrt(x**2 + 1),-3*x**4/8 - 2*x**3 + 3*x**2/2 + 3
11206,0.25*log(x + 1)*cos(x),x*(-0.0416666666666667*x**2 - 0.125*x + 0.25)
11207,cos(0.5*cos(x)),-0.0374124871133284*x**4 + 0.119856384651051*x**2 + 0.877582561890373
11208,-x**3 - 0.5*x**2,x**2*(-x - 0.5)
11209,-0.5*x,-0.5*x
11210,cos(0.5*x*sqrt(x**2 + 1)),-0.122395833333333*x**4 - 0.125*x**2 + 1
11211,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
11212,36*sin(x)**4,36*x**4
11213,-2*x**3,-2*x**3
11214,-3*cos(x),-x**4/8 + 3*x**2/2 - 3
11215,-x**3 + 0.5*exp(x),0.0208333333333333*x**4 - 0.916666666666667*x**3 + 0.25*x**2 + 0.5*x + 0.5
11216,sin(x),-x**3/6 + x
11217,log(x**6 - 2*x**3*sin(x) + sin(x)**2 + 1),-17*x**4/6 + x**2
11218,3*x**3*cos(x),3*x**3
11219,-sqrt(x**2 + 1) + 2*cos(x),5*x**4/24 - 3*x**2/2 + 1
11220,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
11221,-3*sin(x),x*(x**2 - 6)/2
11222,2*x**3,2*x**3
11223,exp(-0.25*x**4),1 - 0.25*x**4
11224,-sqrt(x**2 + 1),x**4/8 - x**2/2 - 1
11225,-3*x**2*sin(x),-3*x**3
11226,exp(-0.5*exp(x))*exp(0.5*sin(x)),(0.0104166666666667*x**4 - 0.166666666666667*x**3 - 0.25*x**2 + 1)*exp(-1/2)
11227,-0.5*x**2 + exp(x),x**4/24 + x**3/6 + x + 1
11228,9*x*cos(x),9*x*(2 - x**2)/2
11229,6*x**3*exp(x),6*x**3*(x + 1)
